frequency,monetary,last_order_date,recency,review_score,cluster
1,403.81000000000006,2017-10-06 11:03:53,376,4.0,0
1,95.11,2017-10-30 21:01:41,351,4.0,0
1,75.42,2017-11-14 19:11:32,336,4.0,0
1,148.06,2017-06-27 16:29:50,477,3.0,2
1,58.62,2018-02-07 16:32:15,252,3.0,0
1,64.42,2017-02-13 16:15:18,611,5.0,4
1,403.79999999999995,2018-07-07 09:21:43,102,5.0,0
1,50.959999999999994,2018-04-28 10:07:38,172,5.0,0
1,175.64,2017-07-24 21:41:53,449,4.0,4
1,82.7,2017-07-30 11:24:01,444,5.0,4
1,27.77,2017-07-17 22:29:36,456,5.0,4
1,94.43,2018-04-08 11:23:06,192,5.0,0
1,42.76,2018-07-16 15:53:49,93,5.0,0
1,238.69,2017-12-11 17:06:20,310,5.0,0
1,44.6,2017-05-16 17:21:14,519,5.0,4
2,108.38,2018-07-13 10:56:30,96,5.0,3
1,133.1,2018-05-04 11:28:12,166,4.0,0
1,568.3,2018-01-22 11:29:42,268,4.0,1
2,392.53999999999996,2018-01-27 18:47:46,262,5.0,3
1,228.62,2018-01-24 11:49:08,266,5.0,0
1,146.54,2018-05-30 11:23:09,140,1.0,2
1,375.26,2018-01-28 11:43:37,262,5.0,0
1,63.019999999999996,2018-07-16 15:00:42,93,3.0,0
1,1224.1,2017-06-27 15:39:38,477,5.0,1
1,98.09,2018-03-19 23:28:31,211,4.0,0
2,344.09,2017-09-12 14:29:16,400,3.0,3
1,174.96,2018-03-28 09:09:21,203,4.0,0
1,177.44,2018-03-25 17:23:39,206,4.0,0
2,56.0,2018-01-30 22:23:38,259,3.0,3
1,85.24,2018-01-15 10:45:12,275,4.0,0
1,40.97,2018-08-07 12:10:21,71,5.0,0
1,57.29,2018-04-05 11:22:30,195,5.0,0
1,159.75,2018-06-03 11:22:06,136,5.0,0
1,42.769999999999996,2018-04-06 22:42:39,193,1.0,2
1,132.72000000000003,2017-10-25 18:31:28,356,4.0,0
1,43.22,2018-03-15 01:09:39,216,5.0,0
1,25.39,2018-07-07 23:41:08,101,5.0,0
1,309.89000000000004,2018-06-11 01:11:02,128,5.0,0
1,73.71000000000001,2018-06-15 14:39:03,124,2.0,2
1,106.29,2017-08-30 08:58:36,413,5.0,0
1,45.3,2018-08-02 12:21:24,76,1.0,2
1,84.99,2017-01-27 14:24:28,628,5.0,4
1,61.94,2018-03-29 11:34:59,202,5.0,0
1,174.04000000000002,2018-02-06 17:41:41,252,3.0,0
1,99.7,2017-11-25 17:11:40,326,1.0,2
1,25.75,2018-03-03 21:20:15,227,3.0,0
1,91.86000000000001,2018-02-06 17:02:06,253,5.0,0
1,137.99,2017-08-22 12:05:19,421,5.0,0
1,315.75,2018-01-21 17:40:10,268,5.0,0
1,157.56,2018-01-31 00:09:23,259,1.0,2
1,145.69,2018-06-29 11:04:42,110,5.0,0
1,190.37,2017-10-15 20:26:51,366,5.0,0
1,317.01,2017-01-27 17:16:40,628,1.0,2
1,65.22,2018-05-15 21:45:43,154,5.0,0
1,76.51,2018-07-19 11:29:25,90,4.0,0
1,206.61,2017-02-05 22:32:10,618,5.0,4
1,31.33,2018-07-08 18:27:36,100,5.0,0
1,55.78,2018-02-04 23:40:54,254,5.0,0
1,154.69,2017-08-30 08:45:27,413,4.0,0
1,151.39,2018-06-14 02:20:11,125,5.0,0
1,36.22,2018-03-24 18:40:55,206,5.0,0
1,268.99,2017-06-18 23:47:30,485,3.0,2
1,32.9,2017-11-21 09:24:21,330,5.0,0
1,135.84,2017-05-29 15:48:13,506,3.0,2
1,545.13,2017-08-18 23:09:46,424,5.0,1
1,107.78999999999999,2018-07-08 15:46:48,101,5.0,0
1,159.21,2018-02-21 10:59:41,238,4.0,0
1,152.16,2017-08-23 13:58:50,420,5.0,0
1,40.239999999999995,2018-06-18 20:16:30,120,5.0,0
1,75.25,2018-03-20 23:00:24,210,5.0,0
1,68.96000000000001,2018-08-16 19:14:58,61,5.0,0
1,171.44,2017-11-07 19:30:41,343,4.0,0
1,105.28,2017-08-08 10:23:10,435,4.0,0
1,33.129999999999995,2018-03-12 14:18:38,219,5.0,0
1,45.62,2017-11-13 10:06:33,338,1.0,2
1,40.77,2017-07-14 15:51:06,460,3.0,2
1,151.05,2018-08-10 14:19:42,68,5.0,0
1,42.95,2017-05-05 12:54:05,530,5.0,4
1,106.87,2017-08-03 08:45:54,440,5.0,4
1,22.14,2018-07-02 15:00:22,107,5.0,0
1,32.33,2018-07-23 18:33:22,85,5.0,0
1,143.92000000000002,2017-05-10 22:08:52,524,5.0,4
1,113.71,2017-07-29 22:37:12,444,3.0,2
1,55.09,2018-01-08 17:30:42,281,5.0,0
1,347.96999999999997,2017-05-31 11:15:03,504,5.0,4
1,180.5,2018-03-22 09:15:32,209,1.0,2
1,31.22,2018-06-17 19:54:47,121,5.0,0
1,56.379999999999995,2017-11-06 14:25:23,345,5.0,0
1,69.36,2018-07-28 21:03:38,80,5.0,0
1,227.34,2018-07-02 13:16:53,107,5.0,0
1,328.67,2017-07-03 14:52:37,471,5.0,4
1,132.03,2017-12-11 19:10:48,309,5.0,0
1,69.31,2018-04-16 19:50:42,183,4.0,0
1,53.68,2017-11-30 20:01:11,320,4.0,0
1,162.86,2017-06-07 10:04:14,497,4.0,4
1,147.09,2018-08-07 21:37:09,70,5.0,0
1,69.33,2018-02-13 12:30:17,246,1.0,2
1,111.21000000000001,2017-02-28 17:37:35,595,3.0,2
1,34.0,2018-03-01 22:46:34,229,1.0,2
1,199.58,2017-08-10 20:02:42,432,5.0,4
1,137.99,2017-10-05 20:09:56,376,2.0,2
1,79.52000000000001,2017-02-07 17:16:39,617,5.0,4
1,132.48,2018-04-16 14:22:34,184,4.0,0
1,113.09,2018-03-18 12:30:47,213,5.0,0
1,145.56,2017-10-12 06:57:17,370,4.0,0
1,284.13,2017-11-29 12:24:41,322,1.0,2
2,269.49,2018-05-21 19:51:55,148,5.0,3
1,125.42,2017-05-09 15:59:45,526,5.0,4
1,758.25,2018-05-23 18:30:11,146,1.0,2
1,162.51,2018-05-02 10:23:08,168,5.0,0
1,0.0,2017-03-03 23:49:03,592,1.0,2
1,110.77000000000001,2017-05-15 11:40:08,520,5.0,4
1,83.75999999999999,2018-08-02 22:01:27,75,5.0,0
1,40.269999999999996,2018-08-17 19:54:45,60,5.0,0
1,97.87,2017-09-12 16:01:18,400,5.0,0
1,72.14,2017-08-09 14:38:26,434,4.0,0
1,171.22,2018-03-16 14:39:56,215,1.0,2
1,122.37,2018-01-18 20:30:36,271,4.0,0
1,66.07,2018-06-14 11:29:22,125,5.0,0
1,14.89,2018-08-28 18:49:20,49,5.0,0
1,261.82,2017-02-08 11:04:56,616,5.0,4
1,76.08,2017-12-12 14:32:00,309,5.0,0
1,90.47999999999999,2017-11-27 10:00:21,324,1.0,2
1,770.24,2017-03-14 17:33:28,581,1.0,1
1,159.13,2018-07-18 17:09:11,91,5.0,0
1,43.33,2017-12-05 19:00:57,315,5.0,0
1,52.839999999999996,2018-08-16 14:46:01,62,5.0,0
1,203.23000000000002,2018-07-06 10:37:32,103,5.0,0
1,639.6,2018-03-28 07:34:42,203,5.0,1
1,1031.69,2017-12-11 19:39:39,309,5.0,1
1,98.53999999999999,2018-02-23 13:36:08,236,5.0,0
1,758.93,2017-05-21 08:05:33,514,5.0,1
1,113.03,2017-05-16 00:46:45,519,5.0,4
1,103.39,2018-04-24 20:17:34,175,5.0,0
1,72.25,2018-03-17 08:55:25,214,5.0,0
1,30.68,2017-03-05 22:11:02,590,5.0,4
1,145.48000000000002,2017-03-13 11:06:50,583,3.0,2
1,323.96,2017-11-29 11:03:39,322,5.0,0
1,153.02,2018-08-12 16:11:49,66,4.0,0
1,62.44,2017-11-25 18:24:33,325,5.0,0
1,76.78,2018-02-19 20:52:08,239,5.0,0
1,66.78,2017-08-16 14:25:28,427,5.0,4
1,179.84,2018-01-23 19:35:43,266,5.0,0
1,69.97,2018-05-05 18:11:08,164,5.0,0
1,119.3,2017-08-19 14:52:19,424,5.0,0
1,116.57,2018-05-07 15:03:20,163,1.0,2
1,99.42999999999999,2018-01-23 17:07:10,267,1.0,2
1,38.129999999999995,2018-05-16 12:11:24,154,5.0,0
1,73.15,2018-02-20 15:27:42,239,5.0,0
1,197.99,2018-03-19 08:48:09,212,5.0,0
1,89.28,2017-11-06 02:08:11,345,5.0,0
1,41.17,2017-05-29 21:09:38,505,5.0,4
1,192.22,2018-03-10 10:09:30,221,5.0,0
1,70.16,2018-04-09 17:26:21,191,4.0,0
1,116.46000000000001,2018-04-20 15:12:39,180,2.0,2
1,171.61,2017-11-15 20:19:20,335,3.0,0
1,129.92000000000002,2018-01-11 00:08:09,279,5.0,0
1,67.44,2018-08-10 15:19:58,68,5.0,0
1,104.37,2017-11-13 15:41:29,338,5.0,0
1,52.790000000000006,2018-01-04 22:45:07,285,5.0,0
1,137.85000000000002,2017-12-20 19:20:25,300,1.0,2
1,59.79,2018-01-23 15:30:59,267,5.0,0
1,242.54,2017-11-11 19:03:58,339,5.0,0
1,74.69999999999999,2018-07-09 16:51:25,100,4.0,0
1,82.59,2018-06-21 21:10:39,117,5.0,0
1,79.72,2018-03-26 05:31:56,205,4.0,0
1,65.87,2018-04-20 11:16:37,180,5.0,0
1,59.14,2017-11-24 22:38:00,326,5.0,0
1,159.45000000000002,2018-05-06 12:52:59,164,5.0,0
1,117.85000000000001,2017-11-21 08:25:55,330,4.0,0
1,24.0,2018-02-20 14:36:42,239,4.0,0
1,174.4,2018-02-27 21:57:30,231,5.0,0
1,212.99,2018-01-12 21:44:42,277,5.0,0
1,327.8,2017-03-11 17:51:25,584,5.0,4
1,102.64,2018-01-14 20:48:36,275,5.0,0
1,253.79000000000002,2017-07-12 10:36:01,462,5.0,4
1,34.71,2017-04-30 22:28:03,534,5.0,4
1,88.89999999999999,2018-03-19 19:37:39,211,3.0,0
1,196.0,2017-10-13 14:30:14,369,5.0,0
1,305.78000000000003,2017-04-24 22:28:44,540,4.0,4
1,66.28999999999999,2017-07-15 19:39:32,458,1.0,2
1,700.3,2018-06-10 10:53:06,129,4.0,1
1,38.89,2017-11-24 23:00:33,326,4.0,0
1,92.9,2018-05-14 17:20:48,156,5.0,0
1,201.75,2018-04-24 15:17:51,176,4.0,0
1,81.78,2017-04-26 22:15:06,538,5.0,4
1,158.01,2018-07-30 18:34:42,78,5.0,0
1,134.21,2018-04-09 23:17:14,190,5.0,0
1,130.26,2018-01-07 16:31:00,283,5.0,0
1,116.63,2017-09-15 19:40:15,396,4.0,0
1,60.0,2018-02-15 19:46:04,243,1.0,2
1,110.39999999999999,2017-11-13 20:35:48,337,5.0,0
1,114.78999999999999,2017-04-02 22:06:05,562,5.0,4
1,135.07999999999998,2017-10-02 14:57:03,380,4.0,0
1,256.5,2018-02-10 18:21:51,248,5.0,0
1,82.25,2018-08-17 15:11:21,61,5.0,0
1,118.24000000000001,2017-05-16 23:52:28,518,5.0,4
1,205.08999999999997,2018-04-01 23:33:42,198,2.0,2
1,358.53,2017-02-16 23:30:56,607,1.0,2
1,243.4,2017-11-24 16:45:54,327,5.0,0
1,217.64000000000001,2017-05-08 14:35:48,527,5.0,4
1,93.66000000000001,2017-11-18 23:03:56,332,5.0,0
1,107.78,2018-04-22 12:19:34,178,5.0,0
1,43.85,2017-11-30 13:29:07,321,5.0,0
1,50.76,2018-06-13 08:32:11,126,5.0,0
